FIPS,county,state,year,total_vote,dem_vote,rep_vote
1025,Clarke,AL,1984,10811,4452,6282
1025,Clarke,AL,1988,10020,4217,5708
1025,Clarke,AL,1992,11717,5023,5495
1025,Clarke,AL,1996,10118,4831,4785
1025,Clarke,AL,2000,10752,4679,5988
1025,Clarke,AL,2004,11394,4627,6730
1025,Clarke,AL,2008,13435,5914,7466
1025,Clarke,AL,2012,13860,6334,7470
1025,Clarke,AL,2016,13031,5749,7140
1025,Clarke,AL,2020,13135,5755,7324
1027,Clay,AL,1960,3307,1743,1548
1027,Clay,AL,1964,4014,0,2815
1027,Clay,AL,1968,5044,256,706
1027,Clay,AL,1972,4474,507,3948
1027,Clay,AL,1976,4858,2946,1883
1027,Clay,AL,1980,5747,2858,2764
1027,Clay,AL,1984,5033,1456,3432
1027,Clay,AL,1988,5238,1602,3496
1027,Clay,AL,1992,5755,2073,2859
1027,Clay,AL,1996,5568,2306,2694
1027,Clay,AL,2000,5883,2045,3719
1027,Clay,AL,2004,6576,1893,4624
1027,Clay,AL,2008,6819,1760,4984
1027,Clay,AL,2012,6679,1777,4817
1027,Clay,AL,2016,6624,1237,5245
1027,Clay,AL,2020,6930,1267,5601
1029,Cleburne,AL,1960,2522,1510,1008
1029,Cleburne,AL,1964,2828,0,2156
1029,Cleburne,AL,1968,3995,160,485
1029,Cleburne,AL,1972,4014,581,3420
1029,Cleburne,AL,1976,3981,2490,1436
1029,Cleburne,AL,1980,4526,2050,2389
1029,Cleburne,AL,1984,4623,1238,3259
1029,Cleburne,AL,1988,4490,1383,3071
1029,Cleburne,AL,1992,5237,2144,2425
1029,Cleburne,AL,1996,4241,1737,2063
1029,Cleburne,AL,2000,5092,1664,3333
1029,Cleburne,AL,2004,5798,1391,4370
1029,Cleburne,AL,2008,6492,1168,5216
1029,Cleburne,AL,2012,6319,971,5272
1029,Cleburne,AL,2016,6593,684,5764
1029,Cleburne,AL,2020,7227,675,6484
1031,Coffee,AL,1960,5867,4470,1381
1031,Coffee,AL,1964,6123,0,4910
1031,Coffee,AL,1968,10766,1071,682
1031,Coffee,AL,1972,11336,2160,9076
1031,Coffee,AL,1976,12651,7844,4683
1031,Coffee,AL,1980,13399,6140,6760
1031,Coffee,AL,1984,15118,4370,10558
1031,Coffee,AL,1988,13355,4319,8890
1031,Coffee,AL,1992,15533,5776,7591
1031,Coffee,AL,1996,14159,5168,7805
1031,Coffee,AL,2000,15434,5220,9938
1031,Coffee,AL,2004,17616,4480,13019
1031,Coffee,AL,2008,20128,5079,14919
1031,Coffee,AL,2012,19821,4925,14666
1031,Coffee,AL,2016,20767,4221,15875
1031,Coffee,AL,2020,22275,5076,16899
1033,Colbert,AL,1960,10508,7550,2815
1033,Colbert,AL,1964,10840,0,5267
1033,Colbert,AL,1968,15621,2291,1727
1033,Colbert,AL,1972,16564,4811,11215
1033,Colbert,AL,1976,16842,11996,4471
1033,Colbert,AL,1980,20013,12550,6619
1033,Colbert,AL,1984,21032,11008,9530
1033,Colbert,AL,1988,18404,10397,7775
1033,Colbert,AL,1992,22439,12206,8073
1033,Colbert,AL,1996,20318,10226,8305
1033,Colbert,AL,2000,21532,10543,10518
1033,Colbert,AL,2004,23935,10598,13188
1033,Colbert,AL,2008,24843,9703,14739
1033,Colbert,AL,2012,23444,9166,13936
1033,Colbert,AL,2016,24915,7312,16746
1033,Colbert,AL,2020,27886,8343,19203
1035,Conecuh,AL,1960,2515,1815,650
1035,Conecuh,AL,1964,3421,0,2782
1035,Conecuh,AL,1968,5346,1151,186
1035,Conecuh,AL,1972,4296,1042,3214
1035,Conecuh,AL,1976,4980,3086,1812
1035,Conecuh,AL,1980,6181,3102,2948
1035,Conecuh,AL,1984,6334,2735,3538
1035,Conecuh,AL,1988,6357,3022,3256
1035,Conecuh,AL,1992,6307,3155,2463
1035,Conecuh,AL,1996,5461,2903,2093
1035,Conecuh,AL,2000,5551,2783,2699
1035,Conecuh,AL,2004,6021,2719,3271
1035,Conecuh,AL,2008,6943,3429,3470
1035,Conecuh,AL,2012,7025,3555,3439
1035,Conecuh,AL,2016,6585,3080,3420
1035,Conecuh,AL,2020,6441,2966,3442
1037,Coosa,AL,1960,2575,1493,1073
1037,Coosa,AL,1964,2718,0,1978
1037,Coosa,AL,1968,3811,623,330
1037,Coosa,AL,1972,3461,773,2672
1037,Coosa,AL,1976,3766,2533,1196
1037,Coosa,AL,1980,4209,2383,1714
1037,Coosa,AL,1984,4385,1781,2585
1037,Coosa,AL,1988,4283,1860,2405
1037,Coosa,AL,1992,4798,2330,1973
1037,Coosa,AL,1996,4131,2121,1721
1037,Coosa,AL,2000,4567,2104,2382
1037,Coosa,AL,2004,5001,2055,2905
1037,Coosa,AL,2008,5563,2273,3248
1037,Coosa,AL,2012,5282,2191,3049
1037,Coosa,AL,2016,5252,1782,3381
1037,Coosa,AL,2020,5479,1796,3631
1039,Covington,AL,1960,7824,5744,2047
1039,Covington,AL,1964,9175,0,7554
1039,Covington,AL,1968,13128,791,831
1039,Covington,AL,1972,10881,1547,9278
1039,Covington,AL,1976,12224,7081,4977
1039,Covington,AL,1980,13608,6305,7014
1039,Covington,AL,1984,13883,3812,9944
1039,Covington,AL,1988,12073,3845,8130
1039,Covington,AL,1992,13962,5004,6840
1039,Covington,AL,1996,11913,4543,6035
1039,Covington,AL,2000,13613,4440,8961
1039,Covington,AL,2004,14627,3423,11119
1039,Covington,AL,2008,15787,3240,12444
1039,Covington,AL,2012,15439,3158,12153
1039,Covington,AL,2016,15940,2387,13267
1039,Covington,AL,2020,17430,2721,14586
1041,Crenshaw,AL,1960,3501,2923,573
1041,Crenshaw,AL,1964,3824,0,3008
1041,Crenshaw,AL,1968,5480,726,209
1041,Crenshaw,AL,1972,4294,1085,3129
1041,Crenshaw,AL,1976,5266,3372,1801
1041,Crenshaw,AL,1980,5256,2704,2478
1041,Crenshaw,AL,1984,5272,1904,3261
1041,Crenshaw,AL,1988,4478,1836,2617
1041,Crenshaw,AL,1992,5290,2404,2339
1041,Crenshaw,AL,1996,4447,2172,1939
1041,Crenshaw,AL,2000,4795,1934,2793
1041,Crenshaw,AL,2004,5500,1698,3777
1041,Crenshaw,AL,2008,6291,1938,4319
1041,Crenshaw,AL,2012,6424,2050,4331
1041,Crenshaw,AL,2016,6267,1664,4513
1041,Crenshaw,AL,2020,6617,1700,4864
1043,Cullman,AL,1960,10599,6346,4248
1043,Cullman,AL,1964,12262,0,7152
1043,Cullman,AL,1968,17265,1115,4964
1043,Cullman,AL,1972,18091,3571,14390
1043,Cullman,AL,1976,20055,12961,6899
1043,Cullman,AL,1980,22240,11525,10212
1043,Cullman,AL,1984,23126,7989,14782
1043,Cullman,AL,1988,23197,8517,14351
1043,Cullman,AL,1992,29043,10451,14411
1043,Cullman,AL,1996,26553,9544,14308
1043,Cullman,AL,2000,29525,9758,19157
