,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,现状,军队,开除党籍,查处/罢黜原因,查处/罢黜原因备注,是否复出,查处/罢黜时间,最初查处单位,是否起诉,起诉罪名,涉案金额,一审时间,审理地点（一级地区关键词）,审理地点（二级地区关键词）,一审判决,是否上诉,二审时间,二审判决
139,李俊明,男,汉族,1960/4/1,山西省,忻州市,定襄县,硕士,1980/11/1,在职,,,,,,,,,,,,,,,,,
140,袁纯清,男,汉族,1952/3/1,湖南省,常德市,汉寿县,博士后,1971/10/1,在职,,,,,,,,,,,,,,,,,
141,王君,男,汉族,1952/3/1,山西省,大同市,,硕士,1977/7/1,在职,,,,,,,,,,,,,,,,,
142,汤涛,男,汉族,1962/7/1,湖北省,黄冈市,英山县,硕士,1984/10/1,在职,,,,,,,,,,,,,,,,,
143,李小鹏,男,汉族,1959/6/1,四川省,成都市,,本科,1985/5/1,在职,,,,,,,,,,,,,,,,,
144,金道铭,男,满族,1953/12/1,北京市,,,硕士,1975/9/1,立案查处,,是,贪污腐败,,否,2014/2/27,中纪委,是,受贿罪,人民币12373万元,2016/2/24,江苏省,镇江市,无期徒刑,否,,
145,王建明,男,汉族,1962/12/1,福建省,漳州市,,硕士,1983/11/1,在职,,,,,,,,,,,,,,,,,
146,田成平,男,汉族,1945/1/1,河北省,邯郸市,大名县,本科,1964/4/1,退休,,,,,,,,,,,,,,,,,
147,张宝顺,男,汉族,1950/2/1,河北省,秦皇岛市,,硕士,1971/4/1,在职,,,,,,,,,,,,,,,,,
148,刘振华,男,汉族,1940/5/1,山东省,莱芜市,,本科,1974/9/1,退休,,,,,,,,,,,,,,,,,
149,于幼军,男,汉族,1953/1/1,江苏省,徐州市,丰县,博士,1976/6/1,降/辞/撤职,,否,违纪,利用职权为其亲属牟取巨额利润,是,2008/9/5,,否,,,,,,,,,
150,孟学农,男,汉族,1949/8/1,山东省,烟台市,蓬莱县,硕士,1972/7/1,降/辞/撤职,,否,责任事故,,是,2008/9/1,,否,,,,,,,,,
151,刘泽民,男,汉族,1944/7/1,山西省,吕梁市,临县,高中,1960/12/1,退休,,,,,,,,,,,,,,,,,
152,侯伍杰,男,汉族,1945/9/1,山西省,阳泉市,盂县,硕士,1966/7/1,立案查处,,是,贪污腐败,,否,2004/12/9,中纪委,是,受贿罪,人民币88万元,2006/9/18,北京市,,11年有期徒刑,否,,
153,金银焕,女,汉族,1952/3/1,山西省,太原市,阳曲县,本科,1971/5/1,死亡,,,,,,,,,,,,,,,,,
154,薛延忠,男,汉族,1954/2/1,山西省,吕梁市,孝义县,硕士,1981/9/1,在职,,,,,,,,,,,,,,,,,
155,任泽民,男,汉族,1954/5/1,贵州省,贵阳市,,本科,1978/6/1,在职,,,,,,,,,,,,,,,,,
156,薛军,男,汉族,1942/11/1,山西省,吕梁市,柳林县,本科,1966/1/1,退休,,,,,,,,,,,,,,,,,
157,范堆相,男,汉族,1946/8/1,山西省,晋城市,泽州县,硕士,1972/12/1,退休,,,,,,,,,,,,,,,,,
158,杜玉林,男,汉族,1950/6/1,山西省,忻州市,河曲县,硕士,1969/7/1,退休,,,,,,,,,,,,,,,,,
159,申联彬,男,汉族,1950/3/1,山西省,长治市,黎城县,硕士,1970/4/1,退休,,,,,,,,,,,,,,,,,
160,李政文,男,汉族,1952/2/1,山西省,运城市,垣曲县,硕士,1971/1/1,在职,,,,,,,,,,,,,,,,,
161,王显政,男,汉族,1946/8/1,辽宁省,阜新市,彰武县,本科,1982/5/1,退休,,,,,,,,,,,,,,,,,
162,陈宝根,男,汉族,1953/7/1,甘肃省,临夏回族自治州,,硕士,1974/6/1,在职,,,,,,,,,,,,,,,,,
163,崔林涛,男,汉族,1942/4/1,陕西省,宝鸡市,千阳县,专科,1966/4/1,退休,,,,,,,,,,,,,,,,,
164,冯煦初,男,汉族,1943/11/1,湖北省,武汉市,黄陂区,本科,,退休,,,,,,,,,,,,,,,,,
165,孙清云,男,汉族,1954/10/1,山东省,德州市,陵县,硕士,1971/11/1,降/辞/撤职,,否,违纪,留党察看2年，降为正处级非领导职务,是,2015/11/13,中纪委,否,,,,,,,,,
166,魏民洲,男,汉族,1956/8/1,陕西省,渭南市,蒲城县,硕士,1975/7/1,立案查处,,,违纪,,,2017/5/25,中纪委,,,,,,,,,,
167,董军,男,汉族,1956/1/1,陕西省,渭南市,韩城区,硕士,1974/1/1,在职,,,,,,,,,,,,,,,,,
168,李仲为,男,汉族,1956/2/1,陕西省,咸阳市,泾阳县,硕士,1982/4/1,在职,,,,,,,,,,,,,,,,,
169,魏增军,男,汉族,1960/5/1,陕西省,西安市,,硕士,1982/9/1,在职,,,,,,,,,,,,,,,,,
170,杨冠军,男,汉族,1963/4/1,河南省,许昌市,禹州县,博士,1992/8/1,在职,,,,,,,,,,,,,,,,,
171,郭青,男,汉族,1963/10/1,河北省,衡水市,故城县,本科,1984/6/1,在职,,,,,,,,,,,,,,,,,
172,方玮峰,男,汉族,1966/6/1,河南省,许昌市,禹州县,本科,1985/6/1,在职,,,,,,,,,,,,,,,,,
173,黄玮,女,汉族,1952/8/1,河南省,南阳市,社旗县,硕士,1985/4/1,在职,,,,,,,,,,,,,,,,,
174,刘建明,男,汉族,1953/5/1,陕西省,安康市,汉滨区,硕士,1975/4/1,退休,,,,,,,,,,,,,,,,,
