,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,现状,军队,开除党籍,查处/罢黜原因,查处/罢黜原因备注,是否复出,查处/罢黜时间,最初查处单位,是否起诉,起诉罪名,涉案金额,一审时间,审理地点（一级地区关键词）,审理地点（二级地区关键词）,一审判决,是否上诉,二审时间,二审判决
1860,肖超英,女,汉族,1958/6/1,安徽省,芜湖市,,硕士,1984/4/1,在职,,,,,,,,,,,,,,,,,
1861,陈德胜,男,,,,,,,,退休,,,,,,,,,,,,,,,,,
1862,王邦杰,男,汉族,1946/11/1,山东省,临沂市,平邑县,硕士,,退休,,,,,,,,,,,,,,,,,
1863,魏尧,男,汉族,1963/12/1,安徽省,巢湖市,,硕士,1994/6/1,在职,,,,,,,,,,,,,,,,,
1864,姚玉舟,男,汉族,1960/3/1,安徽省,安庆市,枞阳县,博士,1987/9/1,在职,,,,,,,,,,,,,,,,,
1865,张晓麟,男,汉族,1961/11/1,安徽省,安庆市,宿松县,硕士,1986/12/1,在职,,,,,,,,,,,,,,,,,
1866,郑为文,男,汉族,1958/3/1,安徽省,黄山市,歙县,本科,1985/11/1,在职,,,,,,,,,,,,,,,,,
1867,丁海中,男,汉族,1951/4/1,江苏省,宿迁市,,本科,1975/6/1,退休,,,,,,,,,,,,,,,,,
1868,郑牧民,男,汉族,1951/5/1,安徽省,滁州市,凤阳县,硕士,1973/12/1,在职,,,,,,,,,,,,,,,,,
1869,王宏(安徽省),女,汉族,1970/2/1,安徽省,马鞍山市,当涂县,硕士,1995/6/1,在职,,,,,,,,,,,,,,,,,
1870,曹勇,男,汉族,1965/2/1,安徽省,六安市,舒城县,硕士,1995/11/1,立案查处,,是,贪污腐败,,否,2014/11/21,安徽省纪委,是,受贿罪、滥用职权罪,人民币2147万元,2016/6/21,安徽省,滁州市,9.5年有期徒刑,否,,
1871,刘健,男,汉族,1955/12/1,江苏省,徐州市,铜山区,硕士,1978/9/1,退休,,,,,,,,,,,,,,,,,
1872,朱季历,男,汉族,1949/4/1,贵州省,黔南布依族苗族自治州,瓮安县,本科,,退休,,,,,,,,,,,,,,,,,
1873,方西屏,男,汉族,1958/10/1,江苏省,南京市,,硕士,1982/8/1,立案查处,,是,贪污腐败,,否,2014/8/11,安徽省纪委,是,受贿罪、滥用职权罪,人民币3174万元,2015/12/17,安徽省,马鞍山市,12.5年有期徒刑,否,,
1874,杨振超,男,汉族,1960/8/1,安徽省,六安市,金寨县,硕士,1983/12/1,立案查处,,是,贪污腐败,,否,2016/5/24,中纪委,是,受贿罪、贪污罪、滥用职权罪,受贿罪人民币8085万元，贪污罪人民币115万元,2017/2/28,上海市,长宁区,无期徒刑,否,,
1875,陈世礼,男,汉族,1951/11/1,安徽省,马鞍山市,,硕士,1972/10/1,立案查处,,是,贪污腐败,,否,2007/7/27,安徽省纪委,是,受贿罪,人民币520余万元、美元1万元及价值114万余元的房产、轿车、电脑等物品,2008/12/8,安徽省,阜阳市,死缓,是,2009/6/5,维持原判
1876,白金明,男,满族,1963/2/1,辽宁省,抚顺市,,博士,1984/12/1,在职,,,,,,,,,,,,,,,,,
1877,张学群,男,汉族,1957/10/1,安徽省,阜阳市,阜南县,本科,1974/10/1,在职,,,,,,,,,,,,,,,,,
1878,花建慧,女,汉族,1955/9/1,江苏省,淮安市,,博士,1976/5/1,在职,,,,,,,,,,,,,,,,,
1879,周春雨,男,汉族,1968/7/1,安徽省,滁州市,天长县,本科,1988/10/1,在职,,,,,,,,,,,,,,,,,
1880,陈启涛,男,汉族,1956/2/1,安徽省,滁州市,天长县,本科,1976/1/1,在职,,,,,,,,,,,,,,,,,
1881,梁卫国,男,汉族,1955/11/1,安徽省,宿州市,,硕士,1984/8/1,在职,,,,,,,,,,,,,,,,,
1882,方平,男,汉族,1953/2/1,安徽省,安庆市,桐城县,本科,1982/3/1,退休,,,,,,,,,,,,,,,,,
1883,潘朝晖,男,汉族,1968/3/1,安徽省,黄山市,歙县,硕士,1986/6/1,在职,,,,,,,,,,,,,,,,,
1884,杨敬农,男,汉族,1966/3/1,安徽省,安庆市,怀宁县,硕士,1993/7/1,在职,,,,,,,,,,,,,,,,,
1885,沈卫国,男,汉族,1952/12/2,浙江省,湖州市,,本科,1985/10/1,在职,,,,,,,,,,,,,,,,,
1886,高登榜,男,汉族,1961/2/1,江苏省,宿迁市,,硕士,1985/1/1,在职,,,,,,,,,,,,,,,,,
1887,陈树隆,男,汉族,1962/11/1,安徽省,巢湖市,,硕士,1985/4/1,立案查处,,是,贪污腐败,,否,2016/11/8,中纪委,,,,,,,,,,
1888,詹夏来,男,汉族,1955/8/1,安徽省,安庆市,,本科,1972/9/1,在职,,,,,,,,,,,,,,,,,
1889,张庆军,男,汉族,1964/3/1,安徽省,淮北市,,本科,1988/4/1,立案查处,,是,贪污腐败,,否,2016/7/30,安徽省纪委,,,,,,,,,,
1890,郭万清,男,汉族,1950/7/1,安徽省,合肥市,肥东县,本科,1985/10/1,在职,,,,,,,,,,,,,,,,,
1891,吴存荣,男,汉族,1963/5/1,安徽省,芜湖市,无为县,硕士,1984/9/1,在职,,,,,,,,,,,,,,,,,
1892,孙金龙,男,汉族,1962/1/1,湖北省,荆门市,钟祥市,硕士,1986/4/1,在职,,,,,,,,,,,,,,,,,
1893,王首盟,男,,,,,,,不详,退休,,,,,,,,,,,,,,,,,
1894,杨爱光,男,,,,,,,不详,退休,,,,,,,,,,,,,,,,,
1895,张学平,男,汉族,1955/7/1,安徽省,六安市,寿县,本科,1974/8/1,在职,,,,,,,,,,,,,,,,,
1896,方宁,男,汉族,1955/7/1,安徽省,六安市,金寨县,博士,1975/8/1,在职,,,,,,,,,,,,,,,,,
1897,韩军,男,汉族,1964/1/1,安徽省,阜阳市,,硕士,1985/10/1,在职,,,,,,,,,,,,,,,,,
1898,宣林,女,汉族,1948/12/1,安徽省,合肥市,肥东县,本科,不详,退休,,,,,,,,,,,,,,,,,
1899,刘战平,男,汉族,,,,,本科,不详,退休,,,,,,,,,,,,,,,,,
1900,马元飞,男,汉族,1943/6/1,江西省,景德镇市,乐平市,硕士,不详,退休,,,,,,,,,,,,,,,,,
1901,方一本,男,汉族,1943/6/1,安徽省,芜湖市,无为县,,1965/9/1,退休,,,,,,,,,,,,,,,,,
1902,陈维席,男,汉族,1947/10/1,安徽省,蚌埠市,固镇县,本科,1980/3/1,降/辞/撤职,,否,其他,非法集资事件中“失职”,否,2005/10/21,中纪委,,,,,,,,,,
1903,李和中,男,汉族,1944/1/1,安徽省,芜湖市,无为县,,不详,立案查处,,是,贪污腐败,,否,2003/1/25,安徽省纪委,是,受贿、巨额财产来源不明,受贿罪人民币57.8万余元、美元7000元；215万余元人民币及4900多美元的家庭巨额财产不能说明合法来源,2003/12/9,安徽省,滁州市,13年有期徒刑,否,,
1904,赵馨群,女,汉族,1963/4/1,安徽省,巢湖市,,本科,1987/4/1,在职,,,,,,,,,,,,,,,,,
1905,刘庆强,男,汉族,1957/8/1,安徽省,芜湖市,,本科,1976/11/1,在职,,,,,,,,,,,,,,,,,
1906,陈树德,男,汉族,1945/11/1,安徽省,宿州市,,硕士,不详,退休,,,,,,,,,,,,,,,,,
1907,何成国,男,汉族,1943/11/1,安徽省,铜陵市,,本科,1979/7/1,退休,,,,,,,,,,,,,,,,,
1908,钱进,男,汉族,1946/1/1,安徽省,滁州市,全椒县,本科,不详,退休,,,,,,,,,,,,,,,,,
1909,姚景源,男,汉族,1950/10/1,吉林省,长春市,,硕士,不详,在职,,,,,,,,,,,,,,,,,
1910,周光全,男,汉族,1949/10/1,安徽省,芜湖市,无为县,,1972/6/1,立案查处,,,贪污腐败,,否,2008/6/21,安徽省纪委,是,受贿、巨额财产来源不明,受贿罪人民币417万余元、美元8.61万、购物卡(券)4.3万元及名贵手表、纪念币等；人民币240万余元、美元7万多元、港币9.9万余元、欧元4260元等财产，不能说明其合法来源,2009/6/3,安徽省,安庆市,无期徒刑,否,,
1911,何闽旭,男,汉族,1955/6/1,福建省,南平市,邵武市,本科,不详,立案查处,,是,贪污腐败,,否,2006/6/22,中纪委,是,受贿罪,折合人民币共计841万余元,2006/12/27,山东省,临沂市,死缓,否,,
1912,童怀伟,男,汉族,1959/1/1,安徽省,蚌埠市,怀远县,硕士,1977/11/1,在职,,,,,,,,,,,,,,,,,
1913,谢德新,男,汉族,1955/8/1,安徽省,六安市,霍邱县,本科,不详,在职,,,,,,,,,,,,,,,,,
1914,凌月明,男,汉族,1962/10/1,江苏省,苏州市,吴县,硕士,1988/8/1,在职,,,,,,,,,,,,,,,,,
1915,徐海荣,男,汉族,1964/11/1,重庆市,长寿区,,硕士,1984/6/1,在职,,,,,,,,,,,,,,,,,
1916,梁冬春,男,汉族,1955/12/1,浙江省,台州市,温岭市,本科,1971/8/1,在职,,,,,,,,,,,,,,,,,
1917,翁杰明,男,汉族,1963/5/1,上海市,,,博士后,1986/8/1,在职,,,,,,,,,,,,,,,,,
1918,徐敬业,男,汉族,1951/9/1,河南省,济源市,济源市,硕士,1970/7/1,在职,,,,,,,,,,,,,,,,,
1919,张国清,男,汉族,1964/8/1,河南省,信阳市,罗山县,博士,1984/7/1,在职,,,,,,,,,,,,,,,,,
1920,张轩,女,汉族,1958/5/1,河北省,唐山市,滦县,本科,1979/4/1,在职,,,,,,,,,,,,,,,,,
1921,马正其,男,汉族,1959/3/1,重庆市,永川区,,硕士,1977/4/1,在职,,,,,,,,,,,,,,,,,
1922,吴政隆,男,汉族,1964/11/1,江苏省,南京市,高淳区,本科,1987/11/1,在职,,,,,,,,,,,,,,,,,
1923,刘学普,男,土家族,1957/10/1,重庆市,石柱土家族自治县,,硕士,1982/11/1,在职,,,,,,,,,,,,,,,,,
1924,黄奇帆,男,汉族,1952/5/1,浙江省,绍兴市,诸暨市,硕士,1976/3/1,在职,,,,,,,,,,,,,,,,,
1925,苟利军,男,汉族,1953/5/1,陕西省,商洛市,商州区,硕士,1976/6/1,在职,,,,,,,,,,,,,,,,,
1926,侯凯,男,汉族,1962/4/1,辽宁省,沈阳市,,本科,1987/12/1,在职,,,,,,,,,,,,,,,,,
1927,朱争平,男,汉族,1953/2/1,江苏省,南通市,海门市,硕士,1978/12/1,在职,,,,,,,,,,,,,,,,,
1928,尹弘,男,汉族,1963/6/1,浙江省,湖州市,,本科,不详,在职,,,,,,,,,,,,,,,,,
1929,沙海林,男,汉族,1957/6/1,江苏省,徐州市,,博士,1979/12/1,在职,,,,,,,,,,,,,,,,,
1930,朱生岭,男,汉族,1957/11/1,江苏省,盐城市,东台市,硕士,不详,在职,,,,,,,,,,,,,,,,,
1931,沈晓明,男,汉族,1963/5/1,浙江省,绍兴市,上虞区,博士,1984/8/1,在职,,,,,,,,,,,,,,,,,
1932,艾宝俊,男,汉族,1960/2/1,辽宁省,辽阳市,,硕士,不详,立案查处,,是,贪污腐败,,否,2015/11/10,中纪委,是,受贿罪、贪污罪,人民币4320万元，贪污罪人民币751万元,2017/2/23,福建省,漳州市,17年有期徒刑,否,,
1933,徐麟,男,汉族,1955/5/1,河北省,石家庄市,新乐市,硕士,1982/9/1,在职,,,,,,,,,,,,,,,,,
1934,杨振武,男,汉族,1955/5/1,河北省,石家庄市,新乐市,硕士,1975/4/1,在职,,,,,,,,,,,,,,,,,
1935,应勇,男,汉族,1957/11/1,浙江省,台州市,仙居县,硕士,1979/4/1,在职,,,,,,,,,,,,,,,,,
1936,屠光绍,男,汉族,1959/1/1,湖北省,武汉市,,硕士,1982/7/1,在职,,,,,,,,,,,,,,,,,
1937,杨晓渡,男,汉族,1953/10/1,上海市,,,硕士,1973/9/1,在职,,,,,,,,,,,,,,,,,
1938,殷一璀,女,汉族,1955/1/1,浙江省,温州市,苍南县,硕士,1973/6/1,在职,,,,,,,,,,,,,,,,,
1939,杨雄,男,汉族,1953/11/1,浙江省,杭州市,,硕士,1985/6/1,在职,,,,,,,,,,,,,,,,,
1940,丁薛祥,男,汉族,1962/9/1,江苏省,南通市,,硕士,1984/10/1,在职,,,,,,,,,,,,,,,,,
1941,许显辉,男,汉族,1966/2/1,河南省,平顶山市,叶县,本科,1986/8/1,在职,,,,,,,,,,,,,,,,,
1942,刘力伟,男,汉族,1955/10/1,湖南省,常德市,桃源县,本科,1976/10/1,在职,,,,,,,,,,,,,,,,,
1943,胡伯俊,男,汉族,1958/7/1,湖南省,长沙市,长沙县,硕士,1977/7/1,在职,,,,,,,,,,,,,,,,,
1944,杨光荣,男,汉族,1963/11/1,湖南省,湘潭市,湘潭县,硕士,1985/6/1,在职,,,,,,,,,,,,,,,,,
1945,陈文浩,男,汉族,1961/12/1,广东省,梅州市,大埔县,硕士,1986/3/1,在职,,,,,,,,,,,,,,,,,
1946,周德睿,男,汉族,1966/2/1,湖南省,衡阳市,祁东县,硕士,1991/12/1,在职,,,,,,,,,,,,,,,,,
1947,吴定宪,男,汉族,1944/6/1,福建省,福州市,福清市,不详,,退休,,,,,,,,,,,,,,,,,
1948,程海波,男,汉族,1952/12/1,湖南省,岳阳市,,本科,1974/8/1,立案查处,,是,贪污腐败,,否,2009/7/22,湖南省纪委,是,受贿罪,人民币1961万,2011/12/15,湖南省,湘西土家族苗族自治州,死缓,否,,
1949,武吉海,男,苗族,1953/1/1,湖南省,湘西土家族苗族自治州,吉首市,硕士,1979/6/1,在职,,,,,,,,,,,,,,,,,
1950,陈超英,男,汉族,1958/11/1,河北省,保定市,蠡县,硕士,,在职,,,,,,,,,,,,,,,,,
1951,皮黔生,男,汉族,1951/10/1,河南省,商丘市,宁陵县,博士,1971/10/1,立案查处,,是,贪污腐败,,否,2008/12/23,中纪委,是,受贿罪,人民币755万余元,2010/8/12,辽宁省,沈阳市,死缓,是,2010/12/1,维持原判
1952,谢建华,男,汉族,1953/10/1,山东省,烟台市,黄县（龙口市）,本科,,在职,,,,,,,,,,,,,,,,,
1953,王小京,男,汉族,1953/6/1,北京市,东城区,,硕士,1972/4/1,退休,,,,,,,,,,,,,,,,,
1954,段端武,男,汉族,1949/8/1,安徽省,亳州市,涡阳县,本科,1969/2/1,退休,,,,,,,,,,,,,,,,,
1955,滑兵来,男,汉族,1943/9/1,河北省,邢台市,柏乡县,本科,1963/6/1,退休,,,,,,,,,,,,,,,,,
1956,杨栋梁,男,汉族,1954/1/1,河北省,沧州市,青县,博士,1973/12/1,立案查处,,是,贪污腐败,,否,2015/10/16,中纪委,是,受贿罪,人民币2849万元,2016/11/24,北京市,,13.5年有期徒刑,否,,
1957,王文华,男,汉族,1948/2/1,天津市,,,硕士,1971/6/1,退休,,,,,,,,,,,,,,,,,
1958,肖怀远,男,汉族,1953/6/1,陕西省,西安市,,硕士,1975/10/1,在职,,,,,,,,,,,,,,,,,
1959,史莲喜,女,汉族,1952/1/1,河北省,衡水市,景县,硕士,1974/11/1,退休,,,,,,,,,,,,,,,,,
1960,邢军,女,汉族,1942/6/1,天津市,,,专科,1970/11/1,退休,,,,,,,,,,,,,,,,,
1961,邢元敏,男,汉族,1949/11/1,山东省,烟台市,龙口市,博士,1975/7/1,退休,,,,,,,,,,,,,,,,,
1962,刘胜玉,男,汉族,1945/12/1,山东省,威海市,荣成市,本科,1966/2/1,退休,,,,,,,,,,,,,,,,,
1963,宋平顺,男,汉族,1945/6/1,河北省,石家庄市,深泽县,专科,1970/9/1,死亡,,是,,,,,,,,,,,,,,,
1964,韩永文,男,汉族,1955/5/1,辽宁省,大连市,普兰店市,博士,1975/6/1,在职,,,,,,,,,,,,,,,,,
1965,徐宪平,男,汉族,1954/10/1,湖南省,邵阳市,隆回县,博士,1973/12/1,在职,,,,,,,,,,,,,,,,,
1966,张德仁,男,汉族,1942/3/1,海南省,海口市,,本科,1962/10/27,退休,,,,,,,,,,,,,,,,,
1967,石玉珍,女,苗族,1947/10/1,湖南省,湘西土家族苗族自治州,花垣县,专科,1966/1/1,退休,,,,,,,,,,,,,,,,,
1968,肖捷,男,汉族,1957/6/1,辽宁省,铁岭市,开原市,博士,1976/3/1,在职,,,,,,,,,,,,,,,,,
1969,许云昭,男,汉族,1949/2/1,江苏省,盐城市,阜宁县,硕士,1971/6/1,退休,,,,,,,,,,,,,,,,,
1970,路建平,男,汉族,1954/1/1,山东省,济南市,,本科,,在职,,,,,,,,,,,,,,,,,
1971,谢康生,男,汉族,1946/7/1,湖南省,岳阳市,平江县,专科,1966/2/1,退休,,,,,,,,,,,,,,,,,
1972,戚和平,男,汉族,1947/1/1,湖南省,怀化市,芷江县,本科,1973/5/1,退休,,,,,,,,,,,,,,,,,
1973,周昌贡,男,汉族,1952/3/1,湖南省,岳阳市,汨罗市,硕士,,退休,,,,,,,,,,,,,,,,,
1974,罗碧升,男,汉族,1949/12/1,湖南省,岳阳市,华容县,硕士,,退休,,,,,,,,,,,,,,,,,
1975,盛荣华,男,汉族,1962/10/1,湖南省,衡阳市,衡阳县,博士,1984/6/1,在职,,,,,,,,,,,,,,,,,
1976,张昌平,男,汉族,1954/4/1,湖北省,孝感市,,硕士,1975/4/1,在职,,,,,,,,,,,,,,,,,
1977,于来山,男,汉族,1952/12/1,湖南省,益阳市,,硕士,1972/1/1,在职,,,,,,,,,,,,,,,,,
1978,黄兰香,女,汉族,1962/2/1,湖南省,株洲市,醴陵市,硕士,1983/1/1,在职,,,,,,,,,,,,,,,,,
1979,卿渐伟,男,汉族,1959/4/1,湖南省,益阳市,沅江市,本科,1979/5/1,在职,,,,,,,,,,,,,,,,,
1980,孔令志,男,汉族,1945/10/1,吉林省,长春市,德惠市,专科,,退休,,,,,,,,,,,,,,,,,
1981,罗月林,男,汉族,1949/10/1,湖南省,衡阳市,,本科,,退休,,,,,,,,,,,,,,,,,
1982,龚文密,男,汉族,1961/10/1,湖北省,荆州市,监利县,硕士,1986/10/1,在职,,,,,,,,,,,,,,,,,
1983,盛茂林,男,汉族,1960/1/1,湖北省,黄石市,,硕士,1981/12/1,在职,,,,,,,,,,,,,,,,,
1984,黄天锡,男,汉族,1952/10/1,湖南省,邵阳市,邵阳县,本科,1972/1/1,退休,,,,,,,,,,,,,,,,,
1985,童名谦,男,汉族,1958/6/1,湖南省,长沙市,,硕士,1979/4/1,立案查处,,是,违纪,玩忽职守,否,2013/12/18,中纪委,是,玩忽职守罪,无,2014/8/17,北京市,丰台区,5年有期徒刑,否,,
1986,郭光文,男,汉族,1957/1/1,湖南省,岳阳市,岳阳县,硕士,1976/2/1,在职,,,,,,,,,,,,,,,,,
1987,贺仁雨,男,汉族,1953/12/1,湖南省,衡阳市,,专科,1974/12/1,在职,,,,,,,,,,,,,,,,,
1988,彭崇谷,男,汉族,1954/11/1,湖南省,湘潭市,湘乡市,本科,1981/12/1,在职,,,,,,,,,,,,,,,,,
1989,张自银,男,汉族,1962/12/1,湖南省,常德市,津市市,本科,1983/6/1,在职,,,,,,,,,,,,,,,,,
1990,周海兵,男,汉族,1971/2/1,湖南省,岳阳市,,硕士,1994/9/1,在职,,,,,,,,,,,,,,,,,
1991,徐明华,男,汉族,1953/4/1,江苏省,泰州市,,本科,1972/1/1,在职,,,,,,,,,,,,,,,,,
1992,张文雄,男,汉族,1962/4/1,湖南省,岳阳市,,硕士,1985/1/1,立案查处,,是,贪污腐败,,否,2016/11/8,中纪委,,,,,,,,,,
1993,李亿龙,男,汉族,1956/6/1,湖南省,长沙市,望城县,硕士,1986/6/1,立案查处,,是,贪污腐败,,否,2016/4/8,湖南省纪委,,,,,,,,,,
1994,陈叔红,男,汉族,1952/1/1,湖南省,湘潭市,,硕士,1972/2/1,退休,,,,,,,,,,,,,,,,,
1995,蒋建国,男,汉族,1956/12/1,湖南省,常德市,汉寿县,硕士,1975/1/1,在职,,,,,,,,,,,,,,,,,
1996,余爱国,男,汉族,1953/8/1,湖南省,岳阳市,岳阳县,硕士,1976/2/1,在职,,,,,,,,,,,,,,,,,
1997,史耀斌,男,汉族,1958/6/1,内蒙古自治区,通辽市,,博士,,在职,,,,,,,,,,,,,,,,,
1998,孙载夫,男,汉族,1946/7/1,湖南省,长沙市,,本科,1977/9/1,退休,,,,,,,,,,,,,,,,,
1999,文选德,男,汉族,1944/2/1,湖南省,常德市,石门县,本科,,退休,,,,,,,,,,,,,,,,,
2000,胡彪,男,汉族,1947/5/1,湖南省,邵阳市,,专科,1966/2/1,退休,,,,,,,,,,,,,,,,,
2001,许又声,男,汉族,1957/8/1,福建省,福州市,,本科,1985/11/1,在职,,,,,,,,,,,,,,,,,
2002,李有新,男,汉族,1954/10/1,湖南省,岳阳市,平江县,本科,1974/8/1,在职,,,,,,,,,,,,,,,,,
2003,陈肇雄,男,汉族,1961/9/1,福建省,莆田市,,博士,1994/4/1,在职,,,,,,,,,,,,,,,,,
2004,郭开朗,男,汉族,1960/10/1,山东省,威海市,文登市,硕士,1981/6/1,在职,,,,,,,,,,,,,,,,,
2005,李微微,女,汉族,1958/3/1,湖南省,长沙市,宁乡县,博士,1976/7/1,在职,,,,,,,,,,,,,,,,,
2006,黄建国,男,汉族,1952/6/1,四川省,凉山彝族自治州,会理县,硕士,1970/7/1,在职,,,,,,,,,,,,,,,,,
2007,杜崇烟,男,土家族,1962/8/1,湖南省,湘西土家族苗族自治州,永顺县,硕士,1983/8/1,立案查处,,是,贪污腐败,,否,2007/7/23,湖南省纪委,是,受贿罪、巨额财产来源不明罪,受贿150万元，195.870512万元的财产不能说明其合法来源,2009/9/30,湖南省,邵阳市,10年有期徒刑,否,,
2008,徐克勤,男,苗族,1963/4/1,湖南省,湘西土家族苗族自治州,龙山县,硕士,1985/3/1,在职,,,,,,,,,,,,,,,,,
2009,郭建群,女,苗族,1970/6/1,湖南省,湘西土家族苗族自治州,凤凰县,硕士,1993/6/1,在职,,,,,,,,,,,,,,,,,
2010,彭对喜,男,土家族,,湖南省,湘西土家族苗族自治州,永顺县,本科,,退休,,,,,,,,,,,,,,,,,
2011,何泽中,男,汉族,1956/4/1,湖南省,岳阳市,临湘市,博士,1976/1/1,在职,,,,,,,,,,,,,,,,,
2012,叶红专,男,土家族,1958/6/1,湖南省,湘西土家族苗族自治州,龙山县,专科,1976/12/1,在职,,,,,,,,,,,,,,,,,
2013,刘云柱,男,汉族,1946/12/1,湖南省,衡阳市,衡南县,本科,1966/5/1,退休,,,,,,,,,,,,,,,,,
2014,余英生,男,汉族,1945/11/1,湖南省,岳阳市,,本科,1971/6/1,退休,,,,,,,,,,,,,,,,,
2015,张建功,男,汉族,1948/6/1,陕西省,西安市,,,,退休,,,,,,,,,,,,,,,,,
2016,林武,男,汉族,1962/2/1,福建省,福州市,闽侯县,本科,1987/1/1,在职,,,,,,,,,,,,,,,,,
2017,吴宗源,男,侗族,1945/10/1,湖南省,怀化市,新晃县,专科,1970/12/1,退休,,,,,,,,,,,,,,,,,
2018,陈志强,男,苗族,1949/7/1,湖南省,怀化市,麻阳县,硕士,1978/3/1,退休,,,,,,,,,,,,,,,,,
2019,易鹏飞,男,汉族,1962/5/1,湖南省,益阳市,,本科,1987/6/1,在职,,,,,,,,,,,,,,,,,
2020,胡伟林,男,汉族,1963/1/1,湖南省,岳阳市,,本科,1986/5/1,在职,,,,,,,,,,,,,,,,,
2021,卞翠屏,男,汉族,1945/1/1,湖南省,永州市,,本科,1972/10/1,退休,,,,,,,,,,,,,,,,,
2022,彭宪法,男,汉族,1954/11/1,湖南省,湘潭市,,硕士,1981/7/1,在职,,,,,,,,,,,,,,,,,
2023,陈三新,男,汉族,1957/11/1,湖南省,永州市,,硕士,1985/5/1,在职,,,,,,,,,,,,,,,,,
2024,颜石生,男,汉族,1952/2/1,湖南省,株洲市,攸县,本科,1971/2/1,退休,,,,,,,,,,,,,,,,,
2025,王群,男,汉族,1961/6/1,湖南省,益阳市,沅江市,本科,1987/10/1,在职,,,,,,,,,,,,,,,,,
2026,毛腾飞,男,汉族,1962/10/1,湖南省,邵阳市,武冈市,博士,1991/11/1,在职,,,,,,,,,,,,,,,,,
2027,程兴汉,男,汉族,1939/9/1,湖南省,株洲市,,专科,1963/3/1,退休,,,,,,,,,,,,,,,,,
2028,王汀明,男,汉族,1946/10/1,福建省,厦门市,,本科,,退休,,,,,,,,,,,,,,,,,
2029,肖雅瑜,男,汉族,1950/5/1,湖南省,长沙市,长沙县,硕士,1973/11/1,在职,,,,,,,,,,,,,,,,,
2030,陈君文,男,汉族,1954/7/1,湖南省,常德市,鼎城区,博士,1979/4/1,在职,,,,,,,,,,,,,,,,,
2031,贺安杰,男,汉族,1958/7/1,湖南省,永州市,新田县,硕士,1985/4/1,在职,,,,,,,,,,,,,,,,,
2032,张剑飞,男,汉族,1962/11/1,湖南省,邵阳市,邵东县,博士,1994/10/1,在职,,,,,,,,,,,,,,,,,
2033,梅克保,男,汉族,1957/3/1,湖南省,常德市,汉寿县,博士,1979/5/1,在职,,,,,,,,,,,,,,,,,
2034,易炼红,男,汉族,1959/9/1,湖南省,娄底市,涟源市,硕士,1985/6/1,在职,,,,,,,,,,,,,,,,,
2035,储波,男,汉族,1944/10/1,安徽省,安庆市,桐城市,本科,1969/10/1,在职,,,,,,,,,,,,,,,,,
2036,周伯华,男,汉族,1948/7/1,湖南省,湘潭市,湘潭县,硕士,1970/12/1,在职,,,,,,,,,,,,,,,,,
2037,杜家毫,男,汉族,1955/7/1,浙江省,宁波市,鄞县,硕士,1973/12/1,在职,,,,,,,,,,,,,,,,,
2038,周强,男,汉族,1960/4/1,湖北省,黄冈市,黄梅县,硕士,1978/9/1,在职,,,,,,,,,,,,,,,,,
2039,徐守盛,男,汉族,1953/1/1,江苏省,南通市,如东县,硕士,1973/10/1,在职,,,,,,,,,,,,,,,,,
2040,杨泰波,男,汉族,1951/11/1,湖南省,长沙市,宁乡县,本科,1971/6/1,在职,,,,,,,,,,,,,,,,,
2041,欧阳斌,男,汉族,1954/12/1,湖南省,衡阳市,耒阳市,博士,1977/10/1,在职,,,,,,,,,,,,,,,,,
2042,刘莲玉,女,汉族,1960/2/1,湖南省,常德市,澧县,硕士,1981/12/1,在职,,,,,,,,,,,,,,,,,
2043,刘爱才,男,汉族,1948/10/1,江西省,抚州市,东乡县,本科,1971/8/1,退休,,,,,,,,,,,,,,,,,
2044,龚武生,男,汉族,1956/8/1,湖南省,永州市,新田县,硕士,1981/3/1,在职,,,,,,,,,,,,,,,,,
2045,严志辉,男,汉族,1968/1/1,湖南省,益阳市,南县,博士,1990/7/1,在职,,,,,,,,,,,,,,,,,
2046,邹金鷟,男,,,,,,,,退休,,,,,,,,,,,,,,,,,
2047,曾庆炎,男,汉族,1949/10/1,湖南省,常德市,澧县,本科,1970/9/1,退休,,,,,,,,,,,,,,,,,
2048,张硕辅,男,汉族,1965/8/1,湖南省,长沙市,望城县,博士,1984/6/1,在职,,,,,,,,,,,,,,,,,
2049,龙定鼎,男,汉族,1943/12/1,湖南省,永州市,东安县,本科,,退休,,,,,,,,,,,,,,,,,
2050,周政坤,男,汉族,1953/7/1,湖南省,益阳市,沅江市,本科,,立案查处,,是,贪污腐败,,否,2007/4/1,湖南省纪委,是,受贿罪,单独收受贿赂135.7万元，伙同弟弟周政文收受干股分得红利598万元，感谢费76万元，伙同弟弟周政权采取名借实受的方式收受贿赂370万元，伙同妻子刘阳春收受贿赂100万元,2008/11/20,湖南省,益阳市,无期徒刑,是,,
2051,瞿海,男,苗族,1966/1/1,湖南省,怀化市,沅陵县,硕士,1986/1/1,在职,,,,,,,,,,,,,,,,,
2052,李大伦,男,汉族,1950/10/1,湖南省,常德市,桃源县,硕士,,立案查处,,是,贪污腐败,,否,2005/6/1,湖南省纪委,是,受贿罪、巨额财产来源不明罪,"收受人民币1404万元,1798万不能说明合法来源",2008/11/20,湖南省,长沙市,死缓,是,2009/12/4,维持原判
